# Cadastro do caso, extraido da BDGD. Contem dado identificavel quando a extracao inclui CEP/CNAE.
# Revise antes de publicar esta pasta. O numero da conta do cliente (DESCR) nunca entra aqui.
elemento,tipo,cod_id,poste,idx,bus,fases_ligadas,tip_cc,classe,curva,curva_origem,fas_con,car_inst_kw,kw_pico,kvar_pico,kv,clas_sub,classe_consumo,tip_edificacao,gru_tar,gru_ten,ten_forn,cnae,cep,are_loc,mun,uni_tr_mt,ceg_gd,ene_01,ene_02,ene_03,ene_04,ene_05,ene_06,ene_07,ene_08,ene_09,ene_10,ene_11,ene_12
ucbt_com_1444345_9,unidade consumidora BT,0ed36f1bb26a0881f251c67394dc30adae8988b7a3866e07ffad2f67c1393173,1444345,9,BT_2735313,3,COM-Tipo4,COM,COM_Tipo4,catalogo,CN,8.0000,0.1118,0.0326,0.2194,,,,,BT,10,,,UB,4218707,7449457,,0.0,0.0,0.0,76.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_com_1444345_10,unidade consumidora BT,0ed36f1bb26a0881f251c67394dc30adae8988b7a3866e07ffad2f67c1393173,1444345,10,BT_2735313,3,COM-Tipo4,COM,COM_Tipo4,catalogo,CN,8.0000,0.1249,0.0364,0.2194,,,,,BT,10,,,UB,4218707,7449457,,78.21,79.2,100.492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_res_1444345_11,unidade consumidora BT,100141305f67ac1a1ec287b3ff8ea66317021e2fea997c46cfe6ab0fd5508d28,1444345,11,BT_2735313,1,RES-Tipo2,RES,RES_Tipo2,catalogo,AN,8.0000,1.0023,0.2035,0.2194,,,,,BT,10,,,UB,4218707,7449457,,346.5,316.8,421.652,366.055,290.45,206.4,273.714,216.315,185.58,182.9696,250.74,214.034
ucbt_res_1444345_12,unidade consumidora BT,eafd8e1321e2755ca52be3641a0f9a2805c742bd7a4ef41f27df82af0041ef80,1444345,12,BT_2735313,2,RES-Tipo10,RES,RES_Tipo10,catalogo,BN,8.0000,0.4318,0.0877,0.2194,,,,,BT,10,,,UB,4218707,7449457,,140.58,146.52,173.012,140.515,132.275,122.88,114.219,187.335,121.658,130.9896,148.255,154.811
ucbt_res_1444345_13,unidade consumidora BT,faca4f7e33d3e2a1996f1551b9c135d686fbbd904d6f6022db4c88b0f3ff685d,1444345,13,BT_2735313,1,RES-Tipo8,RES,RES_Tipo8,catalogo,AN,12.0000,0.3464,0.0703,0.2194,,,,,BT,10,,,UB,4218707,7449457,,190.08,198.0,170.94,191.53,195.175,183.36,179.046,182.16,183.518,200.6428,199.995,201.566
ucbt_res_1444345_14,unidade consumidora BT,61e5d29e26c4f6c877c98c39b72e322218225fc4c465709b7573b4249233040e,1444345,14,BT_2735313,2,RES-Tipo2,RES,RES_Tipo2,catalogo,BN,12.0000,0.2905,0.0590,0.2194,,,,,BT,10,,,UB,4218707,7449457,,45.54,63.36,61.124,60.86,70.3,65.28,69.972,102.465,110.317,63.4156,124.375,111.173
ucbt_res_1444345_15,unidade consumidora BT,729f0e3c25311aa21c8d38b039557a5751593a6f5c7ab2db56df3bc6c3f133b7,1444345,15,BT_2735313,1,RES-Tipo2,RES,RES_Tipo2,catalogo,AN,12.0000,0.3616,0.0734,0.2194,,,,,BT,10,,,UB,4218707,7449457,,0.0,0.0,157.472,114.56,112.85,103.68,113.19,129.375,126.813,51.98,28.855,44.677
ucbt_com_1833360_0,unidade consumidora BT,0519831af8dbc44abe07bc5669bfd005ce30a7f71b4389789be4d3c092b3c282,1833360,0,BT_1685990,1,COM-Tipo5,COM,COM_Tipo5,catalogo,AN,8.0000,0.0276,0.0080,0.2194,,,,,BT,10,,,UB,4218707,7483569,,0.0,0.0,0.0,0.0,20.35,22.08,13.377,11.385,28.868,21.8316,20.895,36.365
ucbt_com_1833360_1,unidade consumidora BT,0519831af8dbc44abe07bc5669bfd005ce30a7f71b4389789be4d3c092b3c282,1833360,1,BT_1685990,1,COM-Tipo5,COM,COM_Tipo5,catalogo,AN,8.0000,0.0271,0.0079,0.2194,,,,,BT,10,,,UB,4218707,7483569,,21.78,22.77,29.008,12.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ucbt_res_1835578_0,unidade consumidora BT,28e17e057c5760a0f43bf34b8f185584a057576b7851b5478da3c64a87f16ff5,1835578,0,BT_1652212,12,RES-Tipo6,RES,RES_Tipo6,catalogo,ABN,13.0000,0.7986,0.1622,0.3800,,,,,BT,10,,,UB,4218707,7449457,,479.16,426.69,474.488,354.42,338.55,319.68,457.905,373.635,346.416,338.9096,370.14,345.987
ucbt_res_1835578_1,unidade consumidora BT,24298049381de021b4d8899b87cc8ccf8c172b13810344ca3565a058d8bfdbdb,1835578,1,BT_1652212,3,RES-Tipo9,RES,RES_Tipo9,catalogo,CN,12.0000,0.7300,0.1482,0.2194,,,,,BT,10,,,UB,4218707,7449457,,189.09,164.34,208.236,181.685,169.275,154.56,165.669,184.23,190.735,197.524,195.02,214.034
ucbt_res_1835578_2,unidade consumidora BT,9e1d4cc9eeda3c2462b9ef51fd45d9baae7fbb09b6d2522e509e252ee249a121,1835578,2,BT_1652212,1,RES-Tipo3,RES,RES_Tipo3,catalogo,AN,8.0000,0.7072,0.1436,0.2194,,,,,BT,10,,,UB,4218707,7449457,,367.29,372.24,511.784,426.915,308.025,205.44,246.96,210.105,208.262,180.8904,343.275,279.491
ucbt_res_1835578_3,unidade consumidora BT,c232974e0a014b2a4f6e83a5e736e92f038259bf93a72d2896d4f64d65975172,1835578,3,BT_1652212,2,RES-Tipo8,RES,RES_Tipo8,catalogo,BN,13.0000,0.4186,0.0850,0.2194,,,,,BT,10,,,UB,4218707,7449457,,172.26,264.33,270.396,205.85,299.7,286.08,312.816,330.165,315.486,118.5144,75.62,98.705
ucbt_res_1835580_0,unidade consumidora BT,c2063386aeb43a9ebd994db4e89d356c79133bda275e9c5a15cdc2c178e101ae,1835580,0,BT_1652208,123,RES-Tipo2,RES,RES_Tipo2,catalogo,ABCN,15.0000,1.8992,0.3857,0.3800,,,,,BT,10,,,UB,4218707,7449457,,710.82,653.4,900.284,508.36,426.425,374.4,476.427,417.105,414.462,395.048,439.79,482.096
ucbt_res_1835582_0,unidade consumidora BT,cb91c9191bb07a68fdd23f8171b97cb21272cc5b712a43135a152a93c4dfb7c2,1835582,0,BT_1652209,1,RES-Tipo9,RES,RES_Tipo9,catalogo,AN,8.0000,1.3443,0.2730,0.2194,,,,,BT,10,,,UB,4218707,7449457,,903.87,783.09,821.548,409.015,206.275,130.56,225.351,96.255,96.914,120.5936,149.25,135.07
ucbt_res_1835584_0,unidade consumidora BT,103c6ec2c6b39f74c743c4fc965e2d6137b5c9b5dde2c877c3e5ae4195e2ef3b,1835584,0,BT_1694168,3,RES-Tipo8,RES,RES_Tipo8,catalogo,CN,8.0000,1.0803,0.2194,0.2194,,,,,BT,10,,,UB,4218707,7449457,GD.SC.001.313.488,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,530.335,652.492
ucbt_res_1835584_1,unidade consumidora BT,103c6ec2c6b39f74c743c4fc965e2d6137b5c9b5dde2c877c3e5ae4195e2ef3b,1835584,1,BT_1694168,3,RES-Tipo8,RES,RES_Tipo8,catalogo,CN,8.0000,0.5249,0.1066,0.2194,,,,,BT,10,,,UB,4218707,7449457,GD.SC.001.313.488,401.94,402.93,433.048,336.52,271.95,177.6,228.438,196.65,173.208,251.5832,0.0,0.0
