# Cadastro do caso, extraido da BDGD. Contem dado identificavel quando a extracao inclui CEP/CNAE.
# Revise antes de publicar esta pasta. O numero da conta do cliente (DESCR) nunca entra aqui.
elemento,cod_id,familia,bus1,bus2,comp_m,fases,fas_con,tip_inst,tip_cnd,linecode,uni_tr_mt,p_n_ope,ligada_no_caso,pot_kvar,pot_kva,tip_unid,tip_regu,ten_reg,rel_tp,rel_tc,cor_nom,banc,mun
mt_12827326,12827326,cabo MT,6133672,2222267,40.5565,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_5122568,5122568,cabo MT,2725790,2222268,28.7567,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_5542585,5542585,cabo MT,2222268,2222269,64.6681,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_6034897,6034897,cabo MT,1655575,1655574,113.1158,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_5050025,5050025,cabo MT,2222269,1655575,33.1989,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_5470935,5470935,cabo MT,1655574,2222312,8.0427,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_5784336,5784336,cabo MT,2542910,1655588,29.9681,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_5892204,5892204,cabo MT,1705542,1705540,15.7039,3,ABC,RD_AER_RUR,MT-32-3-3,CND_MT-32-3-3,,,,,,,,,,,,,
mt_6095009,6095009,cabo MT,2222312,2542910,22.1247,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_5343218,5343218,cabo MT,2542913,2542911,21.2582,3,ABC,RD_AER_URB,MT-34-3-3,CND_MT-34-3-3,,,,,,,,,,,,,
mt_5256655,5256655,cabo MT,2554305,2227011,29.6614,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_5444334,5444334,cabo MT,1655573,2554304,28.7211,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_6052573,6052573,cabo MT,2227017,2564119,8.4877,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_5641503,5641503,cabo MT,1705530,1705528,20.7305,3,ABC,RD_AER_RUR,MT-32-3-3,CND_MT-32-3-3,,,,,,,,,,,,,
mt_5462846,5462846,cabo MT,1720309,1720307,18.7421,3,ABC,RD_AER_RUR,MT-34-3-3,CND_MT-34-3-3,,,,,,,,,,,,,
mt_5865253,5865253,cabo MT,1678106,2227001,34.8702,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_5712971,5712971,cabo MT,1678103,1678106,56.5227,3,ABC,RD_AER_URB,MT-41-3-3,CND_MT-41-3-3,,,,,,,,,,,,,
mt_6035294,6035294,cabo MT,1707442,1707440,23.5512,3,ABC,RD_AER_RUR,MT-34-3-3,CND_MT-34-3-3,,,,,,,,,,,,,
mt_5355140,5355140,cabo MT,1694802,1694801,21.2533,3,ABC,RD_AER_RUR,CMT34-3-3,CND_CMT34-3-3,,,,,,,,,,,,,
sw_6175301,6175301,chave MT,1707448,1707452,,3,ABC,,,,,F,sim,,,,,,,,,,
sw_6181021,6181021,chave MT,2542910,2542913,,3,ABC,,,,,F,sim,,,,,,,,,,
sw_6171634,6171634,chave MT,1652206,1694169,,3,ABC,,,,,F,sim,,,,,,,,,,
sw_6205557,6205557,chave MT,2554306,2554307,,3,ABC,,,,,F,sim,,,,,,,,,,
sw_6203481,6203481,chave MT,1655588,1655589,,3,ABC,,,,,F,sim,,,,,,,,,,
sw_6196610,6196610,chave MT,2227019,2227008,,3,ABC,,,,,A,nao,,,,,,,,,,
sw_6200296,6200296,chave MT,2564119,2221321,,3,ABC,,,,,A,nao,,,,,,,,,,
sw_12646844,12646844,chave MT,SE_6034744,SE_6034379,,3,ABC,,,,,F,sim,,,,,,,,,,
sw_12646928,12646928,chave MT,SE_6034570,1655573,,3,ABC,,,,,F,sim,,,,,,,,,,
