# Catálogo de curvas de carga de referência do bdgdcase.
# GERADO por scripts/fazer_curvas_referencia.py — não editar à mão.
# Origem: camada CRVCRG de Celesc-Dis_5697_2024-12-31_V11_20250926-1429.gdb
# Dado aberto da ANEEL (BDGD), redistribuído com atribuição.
# 61 códigos x 3 tipos de dia; 96 patamares de 15 min.
COD_ID,TIP_DIA,POT_01,POT_02,POT_03,POT_04,POT_05,POT_06,POT_07,POT_08,POT_09,POT_10,POT_11,POT_12,POT_13,POT_14,POT_15,POT_16,POT_17,POT_18,POT_19,POT_20,POT_21,POT_22,POT_23,POT_24,POT_25,POT_26,POT_27,POT_28,POT_29,POT_30,POT_31,POT_32,POT_33,POT_34,POT_35,POT_36,POT_37,POT_38,POT_39,POT_40,POT_41,POT_42,POT_43,POT_44,POT_45,POT_46,POT_47,POT_48,POT_49,POT_50,POT_51,POT_52,POT_53,POT_54,POT_55,POT_56,POT_57,POT_58,POT_59,POT_60,POT_61,POT_62,POT_63,POT_64,POT_65,POT_66,POT_67,POT_68,POT_69,POT_70,POT_71,POT_72,POT_73,POT_74,POT_75,POT_76,POT_77,POT_78,POT_79,POT_80,POT_81,POT_82,POT_83,POT_84,POT_85,POT_86,POT_87,POT_88,POT_89,POT_90,POT_91,POT_92,POT_93,POT_94,POT_95,POT_96
AT-3-Tipo1,DU,88260.895919,88609.315766,87843.377682,90005.337474,89423.271376,89629.395387,90128.894765,89777.547019,88438.912110,87989.186996,88684.269952,90390.063255,88821.881152,87864.458547,87648.965263,87350.319679,87811.756385,88866.970780,90069.165648,90349.658264,90771.275559,90676.997247,90490.197363,91688.878753,91604.555295,90999.066014,91081.047154,91488.024959,89786.916293,92461.843793,92571.347173,93038.639675,92259.818839,92159.099152,91339.873326,90790.014105,92745.264307,92773.372127,92279.142965,91257.306606,88914.988305,87546.488837,91664.284411,92586.572242,92549.680729,93074.945608,93415.167342,91640.861228,92354.097151,93166.881602,93165.710442,92656.256212,91267.261459,91664.284411,89358.857623,91089.245268,91264.333561,91576.447475,92925.037237,92925.622817,90014.121168,91724.013528,92187.206972,92830.758925,93308.006279,92766.930752,92247.521668,90144.119834,91325.819417,90498.981056,90696.906953,90703.933908,88471.118987,85337.097099,86842.036608,86943.341875,85965.423984,87641.938308,87657.163377,85870.560092,86649.966507,87286.491506,86852.577040,86071.413887,84074.001955,83876.076059,87900.764480,89652.818570,89752.952677,91047.083539,90555.196695,89632.323285,90656.501962,90180.425767,88757.467399,89336.605599
AT-3-Tipo1,SA,85208.269593,82139.247038,85354.664487,85427.276354,86535.192910,86858.432836,84903.768213,84388.458187,85029.667822,85844.794591,86720.236056,87134.826396,86829.153857,85170.792500,85251.602481,86250.015657,85939.658482,85926.190152,85894.568855,85310.160439,82529.243035,86591.408550,86218.979940,86766.496843,86525.238058,83675.807844,81827.718704,80266.563556,81818.935010,80862.683564,80270.077034,81990.509826,81722.314380,79713.776437,79009.324208,78214.107144,78484.644908,79118.827588,79988.413258,79583.777771,78634.553279,77774.922463,79536.345826,79069.638904,79225.403071,78964.234580,77184.072671,75925.076584,77794.246589,78516.851785,78631.039802,75769.897997,70443.466179,68247.542771,67516.153882,68655.691735,70934.181863,71294.898882,71081.747916,70887.335497,70627.338166,68729.474762,67654.936241,70712.832784,70461.619146,70924.812590,70769.048423,69443.881844,66548.776423,66821.070926,70448.736395,70842.831450,70492.654863,69829.778784,69197.938422,66586.253516,69361.315124,69282.847461,69730.230256,70260.765352,69305.099485,69825.679727,69680.455992,63888.488412,55575.600760,57551.931827,56583.968789,55899.426265,55596.681625,56718.652091,55428.620287,54821.374267,55698.572471,54708.357409,56363.790869,57043.648756
AT-3-Tipo2,DO,5833.368056,5773.521823,5676.374172,5556.681707,5525.938779,5503.393965,5533.317082,5507.902928,5470.191603,5544.384536,5472.241132,5500.524625,5548.483593,5555.451990,5539.875573,5552.172744,5539.055761,5536.596327,5524.709062,5583.735483,5521.429816,5555.861895,5578.406709,5564.060009,5543.564724,5551.762838,5512.821796,5521.019911,5628.005299,5615.298222,5662.027472,5657.108604,5667.356246,5644.811433,5640.712376,5501.754342,5697.279363,5703.427948,5785.409089,5716.544931,5580.456237,5580.866143,5563.650104,5546.024158,5457.894432,5494.785946,5431.660467,5413.624616,5376.323197,5380.422254,5396.818483,5393.949143,5365.665649,5365.665649,5336.152439,5330.003853,5323.855267,5318.936399,5373.863763,5362.796309,5332.053382,5277.535923,5271.387338,5309.918474,5285.734037,5287.783566,5279.585452,5282.454792,5251.301958,5321.805739,5358.287347,5339.021778,5316.886871,5239.004787,4668.416049,4579.466511,5193.095348,5196.374594,5205.802425,5161.942515,5227.937333,5194.325065,5182.847706,5179.158554,5208.671765,5223.838276,5236.955259,5234.905730,5259.909978,5320.576022,5379.192537,5426.741599,5580.866143,5817.791639,5980.524203,5994.460997
AT-3-Tipo2,DU,14961.148245,15680.942659,14611.908586,15160.362417,13596.572161,11732.730930,12353.738070,12366.035241,13782.259444,14374.573185,13166.581078,13326.444303,13181.747589,13443.267428,13014.096157,14389.739696,13963.027859,13716.674532,15471.480845,14201.592978,15160.772322,15184.956759,16234.725264,16759.404563,16647.500306,16827.039004,15518.620001,14091.328344,13884.325964,16506.902650,17330.813113,17402.546611,16727.431918,15434.179426,14766.443036,14579.116130,14991.481267,14591.003396,15553.052080,15422.702066,13706.016983,13355.137702,16228.576678,16417.133301,17353.357927,15500.994056,15894.913436,14971.805793,15694.059642,14625.435475,15924.426647,15942.872403,14989.021833,14750.046808,13996.640127,15011.566647,14967.706736,16050.267697,15602.240764,13773.651424,15381.711496,16405.246036,15778.090311,16531.906898,16158.892709,14540.994900,13448.596202,12997.290023,10738.709601,11294.541734,11376.932780,8466.602291,5978.064769,4991.831648,4871.729277,4777.450966,4803.275025,4894.683997,4788.108514,4990.192025,4900.422677,4754.086341,5898.133157,6211.301114,6378.542641,6600.711532,8706.807032,14490.576498,14142.156651,15419.832727,14262.668928,14797.595870,16549.942749,15184.546853,12608.289511,14079.441079
AT-3-Tipo2,SA,8870.359408,9094.577827,10011.536884,9468.411828,10134.098689,8014.886206,9992.681222,10140.657181,10585.404868,11811.022919,10960.878492,10199.683602,11582.705443,10696.899219,8314.527275,10227.967095,11820.040845,12010.237091,11612.218654,10299.700593,10111.963781,10410.785039,10690.340728,10688.291200,8952.750454,10598.931756,10243.953418,10905.131316,8852.733463,8959.718851,7921.837612,10180.827940,11443.337504,12388.170149,10864.550652,10505.063350,11103.525676,9704.927419,10165.661429,10315.277010,8565.389565,9241.324069,11176.078986,10949.401132,11692.560171,11584.345066,10624.755816,8160.402731,9480.708999,10346.429843,9820.110921,7704.997495,6627.765308,6429.370948,6276.476121,6299.840746,6363.786035,6208.431774,6271.967158,6349.439336,6296.561500,6306.809143,6242.453947,6201.463377,6114.973274,6114.153462,6026.023736,5903.461931,5873.128909,5803.035034,5830.908622,5964.947787,5872.309098,5799.345883,5755.485973,5814.922299,5932.975142,5883.376552,5896.493534,5912.069951,5912.479857,5876.408155,5800.165694,5824.350131,5861.651550,5932.565236,5850.584096,5836.237396,5798.116166,5741.139273,5765.733615,5708.346817,5804.674657,5785.409089,5804.674657,5819.841168
AT-3-Tipo3,DO,65.584912,61.485855,65.584912,61.485855,65.584912,61.485855,65.584912,61.485855,65.584912,61.485855,61.485855,65.584912,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,65.584912,61.485855,61.485855,65.584912,61.485855,61.485855,57.386798,57.386798,53.287741,57.386798,57.386798,57.386798,61.485855,57.386798,57.386798,57.386798,57.386798,53.287741,61.485855,57.386798,57.386798,57.386798,57.386798,57.386798,57.386798,53.287741,61.485855,61.485855,61.485855,57.386798,57.386798,61.485855,57.386798,61.485855,57.386798,57.386798,57.386798,61.485855,57.386798,61.485855,57.386798,61.485855,57.386798,61.485855,61.485855,61.485855,57.386798,61.485855,57.386798,57.386798,61.485855,57.386798,61.485855,61.485855,61.485855,61.485855,65.584912,69.683969,69.683969,73.783026,69.683969,69.683969,69.683969,69.683969,69.683969,69.683969,65.584912,69.683969,65.584912,65.584912,69.683969,65.584912,65.584912,69.683969,65.584912,65.584912
AT-3-Tipo3,DU,65.584912,69.683969,65.584912,69.683969,65.584912,69.683969,69.683969,65.584912,69.683969,69.683969,65.584912,69.683969,65.584912,69.683969,65.584912,65.584912,65.584912,65.584912,69.683969,65.584912,65.584912,65.584912,65.584912,102.476426,155.764167,163.962281,168.061338,188.556623,188.556623,196.754737,192.655680,180.358509,188.556623,180.358509,192.655680,168.061338,122.971711,139.367939,143.466996,139.367939,135.268882,131.169825,127.070768,131.169825,127.070768,143.466996,143.466996,139.367939,172.160395,196.754737,196.754737,184.457566,184.457566,209.051908,188.556623,188.556623,143.466996,135.268882,192.655680,188.556623,163.962281,135.268882,147.566053,135.268882,155.764167,135.268882,122.971711,114.773597,114.773597,102.476426,102.476426,94.278312,69.683969,65.584912,61.485855,61.485855,65.584912,69.683969,69.683969,69.683969,73.783026,73.783026,69.683969,69.683969,73.783026,69.683969,73.783026,69.683969,69.683969,69.683969,69.683969,73.783026,65.584912,69.683969,69.683969,65.584912
AT-3-Tipo3,SA,69.683969,69.683969,69.683969,73.783026,69.683969,69.683969,73.783026,69.683969,69.683969,69.683969,73.783026,69.683969,69.683969,69.683969,69.683969,69.683969,69.683969,69.683969,69.683969,69.683969,69.683969,65.584912,65.584912,61.485855,61.485855,57.386798,61.485855,57.386798,61.485855,57.386798,61.485855,57.386798,57.386798,57.386798,57.386798,61.485855,53.287741,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,57.386798,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,61.485855,65.584912,65.584912,61.485855,65.584912,61.485855,69.683969,65.584912,65.584912,65.584912,65.584912,65.584912,65.584912,61.485855,61.485855,65.584912,61.485855,61.485855,65.584912,69.683969,65.584912,69.683969,69.683969,69.683969,69.683969,69.683969,65.584912,69.683969,69.683969,69.683969,65.584912,69.683969,69.683969,65.584912,69.683969,65.584912,65.584912
COM-Tipo1,DO,25233.757586,18336.204618,16309.973833,16057.270938,16151.777894,14509.351937,14895.036392,14993.983770,15144.599604,15427.189590,15013.911327,15557.232491,15126.966876,14134.756336,14309.169853,14068.044199,13419.691678,15806.276926,16581.204198,15931.518099,15010.499952,13545.935472,13820.540303,13008.325553,13293.784872,13857.326668,15664.301794,12218.892318,10993.227926,10587.097812,11772.540421,13157.815026,12795.220483,13229.525006,13917.519198,14863.403550,13284.525643,12542.367606,12332.998684,11287.529422,11022.245140,12606.743464,13269.598116,13458.223169,12150.589894,13599.336056,13397.631878,13350.576693,13446.246359,13467.503594,16330.632557,14772.177903,13396.066532,12455.567560,13561.282311,13371.997419,13896.687702,12796.974651,12229.267885,12134.288175,12082.112731,12537.806740,11896.551361,10425.399650,10567.352001,12314.778641,13542.452648,14031.611626,14694.987797,17632.902550,22979.329250,21389.212569,21619.516088,21270.305776,22649.878543,23248.166561,23975.470078,22743.341788,24095.882985,31120.132389,31463.659736,24506.995911,23858.069981,23963.478630,24472.955132,26856.536786,24926.729479,23855.830415,23649.331483,23161.214745,21500.349579,20871.012164,17549.297155,16921.888351,16813.686355,15853.126247
COM-Tipo1,DU,16229.041558,15292.509276,14851.298745,14722.842085,14644.059613,14699.431016,14469.397926,14262.122749,14081.261593,15128.485974,15589.849713,15153.314916,13951.379083,13882.885268,14103.460325,14088.804745,13676.438682,14838.423948,15008.544640,14822.858287,14561.444685,14050.871823,14078.181877,12641.931476,12889.797719,14866.540458,17517.756282,15667.078820,15711.945029,14610.680214,13193.800034,14820.837552,16681.358024,15175.651201,16853.722609,15411.887447,14253.977041,13173.791997,14120.464661,13611.480365,12821.692787,14419.391989,14726.615970,15656.380773,14932.116661,13680.795738,15631.683502,14686.412064,15656.002007,14801.645109,15554.123592,14695.445285,15022.394886,14269.133130,16917.504455,16418.257094,15646.251170,16412.453577,14649.559889,13660.322592,14274.549953,15383.469941,14828.397418,14664.906779,19528.955446,20250.962616,17185.543299,17710.520700,21031.508768,17185.567553,19123.184295,20618.744894,21754.990306,24031.375363,22743.987902,25387.056259,24179.787265,22974.479395,22140.246736,23199.421049,25894.350259,27680.306019,27464.455417,27476.043936,23623.608227,21833.031092,24139.989671,20787.272820,20531.884860,20639.712041,20417.405141,25932.254938,29988.891642,19097.204378,18842.714426,17757.281912
